Region,Dia,S,I,R
1,33,139.30,119497.70,880363.00
1,34,125.98,105410.02,892312.77
1,35,115.61,95283.46,904800.20
1,36,106.77,84031.90,914146.39
1,37,99.76,76002.90,924134.41
1,38,93.68,68623.59,931513.86
1,39,88.51,60517.06,938159.38
1,40,84.33,55866.21,945378.67
1,41,80.46,50423.30,949702.94
1,42,77.20,46461.38,954547.97
1,43,74.25,41893.20,958153.04
1,44,71.75,37803.39,962226.43
1,45,69.57,34021.77,965908.66
1,46,67.68,30621.48,969310.84
1,47,66.02,27560.99,972372.99
1,48,64.56,25368.53,975129.09
1,49,63.22,23314.49,977116.62
1,50,62.01,20554.38,978964.14
1,51,61.01,18507.72,981431.26
1,52,60.11,16657.86,983282.03
1,53,59.31,15002.20,984947.82
1,54,58.60,13502.57,986438.84
1,55,57.96,11909.88,987789.09
1,56,57.43,10722.05,989220.52
1,57,56.93,9650.34,990292.73
1,58,56.49,8706.10,991257.76
1,59,56.10,7679.01,992108.17
1,60,55.76,6927.27,993031.70
1,61,55.45,6371.81,993709.79
1,62,55.16,5744.72,994210.71
1,63,54.91,5183.46,994774.64
1,64,54.68,4674.45,995280.04
1,65,54.48,4297.10,995738.35
1,66,54.28,3867.44,996078.49
1,67,54.12,3411.24,996465.02
1,68,53.97,3070.48,996875.55
1,69,53.84,2823.02,997182.60
1,70,53.71,2540.69,997405.59
1,71,53.61,2287.13,997659.66
1,72,53.51,2058.52,997887.98
1,73,53.42,1854.29,998093.83
1,74,53.34,1704.25,998277.73
1,75,53.27,1565.44,998412.89
1,76,53.20,1409.10,998537.89
1,77,53.14,1267.89,998678.62
1,78,53.08,1118.33,998805.76
1,79,53.04,1006.57,998940.39
1,80,52.99,905.99,999041.05
1,81,52.96,815.43,999131.61
1,82,52.92,719.24,999213.16
1,83,52.89,647.57,999299.75
1,84,52.86,594.67,999364.29
1,85,52.84,524.51,999411.94
1,86,52.82,471.84,999475.09
1,87,52.80,433.10,999522.53
1,88,52.78,397.22,999557.42
1,89,52.76,357.03,999589.73
1,90,52.75,321.34,999625.91
1,91,52.73,289.03,999658.05
1,92,52.72,265.07,999687.14
1,93,52.71,233.80,999708.72
1,94,52.70,210.29,999736.87
1,95,52.69,189.21,999758.04
1,96,52.68,173.65,999777.02
1,97,52.67,156.29,999791.04
1,98,52.67,143.25,999806.66
1,99,52.66,126.35,999818.40
1,100,52.66,113.63,999833.62
1,101,52.65,100.23,999845.08
1,102,52.65,88.40,999857.14
1,103,52.64,79.62,999867.79
1,104,52.64,73.16,999875.70
1,105,52.64,65.85,999881.52
1,106,52.63,59.24,999888.10
1,107,52.63,53.32,999894.05
1,108,52.63,47.03,999899.38
1,109,52.63,43.17,999905.04
1,110,52.63,39.59,999908.51
1,111,52.62,35.63,999911.74
1,112,52.62,31.43,999915.31
1,113,52.62,28.29,999919.09
1,114,52.62,25.94,999921.92
1,115,52.62,23.35,999924.03
1,116,52.62,21.02,999926.36
1,117,52.62,19.26,999928.47
1,118,52.62,17.33,999930.05
1,119,52.62,15.60,999931.78
1,120,52.62,14.29,999933.34
2,0,999000.00,1000.00,0.00
2,1,998200.80,1699.20,100.00
2,2,996843.89,2942.77,269.92
2,3,994440.85,5091.06,564.16
2,4,990295.50,8458.70,1073.17
2,5,983764.03,14598.14,1919.37
2,6,972001.48,24620.29,3378.23
2,7,952856.71,40476.97,5840.26
2,8,922763.97,65993.10,9896.13
2,9,875225.88,110399.67,16517.69
2,10,796219.68,179529.03,27498.72
2,11,679656.90,275038.60,45304.50
2,12,530111.40,397080.24,72808.36
2,13,361713.99,524888.22,112516.38
2,14,210011.57,636601.74,165150.77
2,15,101858.32,684934.82,226150.49
2,16,45456.89,676692.24,290878.95
2,17,20580.51,637768.43,353937.05
2,18,9957.69,588813.27,412644.15
2,19,5207.67,518016.85,466203.71
2,20,3082.12,473377.73,523540.14
2,21,1914.92,427207.17,570877.92
2,22,1260.46,377438.08,613598.63
2,23,886.70,335860.45,656398.56
2,24,652.93,304600.47,694746.60
2,25,493.82,268813.54,725206.65
2,26,389.76,243685.19,756236.71
2,27,313.68,219324.30,780362.02
2,28,258.64,197446.91,802294.45
2,29,217.79,177743.07,822039.14
2,30,186.82,159999.73,839813.45
2,31,162.91,141143.20,855813.42
2,32,144.93,130361.14,872440.78
2,33,129.43,117217.19,882875.19
2,34,117.27,105677.04,894398.52
2,35,107.34,95100.91,904791.76
2,36,99.17,83887.00,914301.85
2,37,92.67,75634.44,924272.88
2,38,87.07,66715.08,931836.33
2,39,82.53,61588.04,939787.39
2,40,78.35,54245.55,944569.05
2,41,75.03,48878.51,951046.46
