Region,Dia,S,I,R
1,33,151.35,120609.28,879239.37
1,34,136.75,108562.96,891300.30
1,35,124.87,97718.54,902156.59
1,36,115.11,87956.45,911928.45
1,37,107.01,79168.90,920724.09
1,38,100.23,71258.79,928640.98
1,39,94.52,64138.62,935766.86
1,40,89.67,57729.61,942180.72
1,41,85.53,51960.79,947953.68
1,42,81.97,46768.27,953149.76
1,43,78.90,42094.51,957826.59
1,44,76.25,37887.71,962036.04
1,45,73.94,34101.25,965824.81
1,46,71.92,30693.15,969234.94
1,47,70.15,27625.60,972304.25
1,48,68.60,24864.59,975066.81
1,49,67.24,22379.49,977553.27
1,50,66.03,20142.75,979791.22
1,51,64.97,18129.54,981805.49
1,52,64.03,16317.53,983618.45
1,53,63.19,14686.61,985250.20
1,54,62.45,13218.69,986718.86
1,55,61.79,11897.48,988040.73
1,56,61.20,10708.32,989230.48
1,57,60.68,9638.01,990301.31
1,58,60.21,8674.68,991265.11
1,59,59.79,7807.63,992132.58
1,60,59.42,7027.24,992913.34
1,61,59.08,6324.85,993616.07
1,62,58.78,5692.66,994248.55
1,63,58.52,5123.67,994817.82
1,64,58.28,4611.54,995330.18
1,65,58.06,4150.60,995791.34
1,66,57.87,3735.73,996206.40
1,67,57.70,3362.33,996579.97
1,68,57.54,3026.25,996916.20
1,69,57.40,2723.77,997218.83
1,70,57.28,2451.52,997491.21
1,71,57.16,2206.48,997736.36
1,72,57.06,1985.93,997957.01
1,73,56.97,1787.43,998155.60
1,74,56.89,1608.77,998334.34
1,75,56.82,1447.96,998495.22
1,76,56.75,1303.23,998640.02
1,77,56.69,1172.97,998770.34
1,78,56.64,1055.72,998887.64
1,79,56.59,950.20,998993.21
1,80,56.55,855.22,999088.23
1,81,56.51,769.74,999173.75
1,82,56.48,692.80,999250.72
1,83,56.44,623.55,999320.00
1,84,56.42,561.22,999382.36
1,85,56.39,505.13,999438.48
1,86,56.37,454.64,999488.99
1,87,56.35,409.19,999534.46
1,88,56.33,368.29,999575.38
1,89,56.31,331.48,999612.21
1,90,56.30,298.35,999645.36
1,91,56.28,268.53,999675.19
1,92,56.27,241.69,999702.04
1,93,56.26,217.53,999726.21
1,94,56.25,195.78,999747.96
1,95,56.24,176.22,999767.54
1,96,56.23,158.60,999785.16
1,97,56.23,142.75,999801.02
1,98,56.22,128.48,999815.30
1,99,56.21,115.64,999828.15
1,100,56.21,104.08,999839.71
1,101,56.20,93.68,999850.12
1,102,56.20,84.31,999859.49
1,103,56.20,75.89,999867.92
1,104,56.19,68.30,999875.51
1,105,56.19,61.47,999882.34
1,106,56.19,55.33,999888.48
1,107,56.19,49.80,999894.02
1,108,56.18,44.82,999899.00
1,109,56.18,40.34,999903.48
1,110,56.18,36.31,999907.51
1,111,56.18,32.68,999911.14
1,112,56.18,29.41,999914.41
1,113,56.17,26.47,999917.35
1,114,56.17,23.83,999920.00
1,115,56.17,21.45,999922.38
1,116,56.17,19.30,999924.53
1,117,56.17,17.37,999926.46
1,118,56.17,15.64,999928.19
1,119,56.17,14.07,999929.76
1,120,56.17,12.67,999931.17
2,0,999000.00,1000.00,0.00
2,1,998200.80,1699.20,100.00
2,2,996843.89,2886.19,269.92
2,3,994542.22,4899.24,558.54
