Region,Dia,S,I,R
0,0,199995.00,5.00,0.00
0,1,199991.00,8.16,0.50
0,2,199984.81,13.87,1.32
0,3,199973.72,23.11,2.70
0,4,199955.70,36.93,5.01
0,5,199928.52,61.51,8.71
0,6,199880.59,100.70,14.86
0,7,199803.93,164.97,24.93
0,8,199678.24,269.49,41.43
0,9,199473.81,449.47,68.38
0,10,199123.48,736.16,113.33
0,11,198563.96,1199.10,186.97
0,12,197660.94,2049.34,306.96
0,13,196023.74,3332.89,511.85
0,14,193537.70,5431.47,845.70
0,15,189508.35,8946.55,1390.13
0,16,182868.26,14715.91,2286.56
0,17,172215.29,23729.08,3760.58
0,18,156099.53,35977.71,6142.55
0,19,134835.30,54230.17,9827.80
0,20,106174.27,77883.46,15335.68
0,21,73319.77,100023.01,23194.37
0,22,44760.10,123614.24,33781.57
0,23,22386.84,127908.95,45650.90
0,24,11159.09,128475.87,59650.71
0,25,5443.84,119362.04,72758.16
0,26,2879.76,106657.79,85738.65
0,27,1691.11,96808.28,98736.48
0,28,1050.78,88743.30,109936.71
0,29,678.69,81698.72,118971.18
0,30,453.84,75348.68,126289.49
0,31,313.77,67782.38,132439.04
0,32,228.09,61402.14,138845.73
0,33,171.66,55153.31,144641.73
0,34,133.81,48497.81,150182.06
0,35,108.50,43055.90,155956.91
0,36,90.21,40850.28,160969.72
0,37,74.75,35411.76,163493.22
0,38,64.49,31812.60,167890.86
0,39,56.35,28930.23,171270.84
0,40,49.77,25476.18,173939.98
0,41,44.82,22915.82,176960.15
0,42,40.72,20829.34,179322.75
0,43,37.29,18289.89,181230.96
0,44,34.64,16389.43,183465.27
0,45,32.39,15312.47,185206.69
0,46,30.32,13681.23,186224.37
0,47,28.67,12056.20,187652.61
0,48,27.33,11223.14,189106.45
0,49,26.05,9882.38,189889.89
0,50,25.05,8726.06,191070.81
0,51,24.19,7846.56,192114.47
0,52,23.44,7019.17,192913.38
0,53,22.78,6279.72,193657.92
0,54,22.22,5649.35,194324.35
